Years of Education,Weekly Working Hours,Age,English Proficiency,Residence Area,Monthly Income (MXN)
9,59,55,5,0,31537.166680956183
9,31,39,1,0,21792.808921960703
18,41,60,5,0,43484.82427012935
12,41,44,5,1,28349.23052252298
20,36,54,3,1,42628.287892050204
15,48,63,1,0,37618.149805191715
10,33,52,5,1,27176.960316985
11,39,21,2,0,26977.70829786927
9,52,33,1,0,30370.39269078063
13,34,33,2,0,30979.69192763836
9,31,38,4,0,22658.46740117456
16,59,43,5,0,41325.72548049669
9,39,53,1,1,28100.496606771805
19,49,36,2,1,45989.93175748282
9,57,34,5,0,27985.733507556237
10,22,62,3,1,25434.169894006576
10,47,43,2,0,31324.598592564416
20,45,39,2,1,38902.95864746692
14,49,45,4,1,34890.724036654494
15,32,18,3,0,32088.666347368115
13,32,61,4,1,34094.425649911514
9,21,53,3,0,18581.297029488036
9,56,60,2,1,28023.464857122814
11,57,54,4,0,28314.619557331993
10,21,19,5,0,22845.878021051045
13,55,34,3,0,34308.913376102195
20,45,57,2,0,47538.027644315145
18,30,55,1,0,38558.33487928838
14,27,38,3,0,34681.96810528836
15,59,26,3,1,35013.93930881391
12,41,30,5,0,28465.721727776643
15,39,28,3,1,33925.66089139292
19,27,33,3,0,35774.49242058423
16,48,33,5,1,37734.332059645676
19,59,19,5,0,41978.6946340949
9,45,59,4,0,28062.155456876633
14,49,61,2,1,36649.43416417837
16,36,25,2,0,35110.80005994799
13,39,60,4,0,32614.21923677606
12,35,59,2,0,28660.106276347153
10,26,30,3,0,23334.337992468754
14,35,34,4,1,30132.168306886786
14,46,56,4,0,33801.57647081436
19,42,41,2,1,37538.02777377278
9,43,20,1,0,25962.26445417541
17,28,47,2,0,37124.99776459542
20,54,30,1,0,46614.82583592985
19,39,36,4,0,39905.55009966405
14,56,24,1,1,36757.103492639384
11,36,26,3,0,24412.66437004165
12,50,36,5,0,27783.775216701382
20,27,62,1,0,40096.688219779215
19,34,57,5,1,40588.11267657947
12,50,39,3,1,32620.911354861608
11,49,35,5,1,32361.70720620584
18,39,40,3,1,39444.160758761966
11,58,19,5,0,34514.79351616418
11,31,28,5,0,25739.640047262397
12,36,48,2,1,30201.470900207984
15,49,50,1,0,37976.40527774248
12,48,31,5,0,31457.90497023817
17,38,33,4,1,37129.17700893338
9,30,28,2,0,19835.496009850194
16,53,50,1,1,41304.385496992036
15,26,24,2,1,35111.370635404965
10,53,48,1,1,28634.03203698478
16,39,63,3,1,38017.52296872563
9,57,64,5,1,28554.41831724143
19,43,31,4,1,41703.84261880728
20,29,45,2,0,41801.921121497755
17,51,60,2,0,38691.93326957848
17,34,33,2,0,32975.095714389485
10,56,36,2,1,25636.67094235267
15,39,34,5,1,36840.75914916662
18,22,43,1,1,34022.56683436803
11,56,23,5,0,29731.57759714158
15,59,60,3,0,39566.69189460482
20,27,26,5,1,39976.89604369175
18,59,34,5,1,43520.4448767969
17,42,48,3,1,39913.64184940136
12,59,29,5,1,31075.887616245327
20,30,40,1,1,41362.46255186873
9,27,22,4,0,22956.87478189512
10,48,60,3,1,31903.394069561386
9,49,53,2,1,26021.87573674392
20,29,53,1,1,38840.51266853743
13,58,20,4,1,36574.24771369807
13,47,41,1,0,36887.891794001014
19,55,34,1,1,42760.04565930875
15,32,56,2,1,34357.45753530297
17,51,43,4,1,40314.82961306577
17,55,21,1,0,39758.0080679603
11,56,62,2,1,31014.99379135296
11,45,29,3,0,28860.837668727334
11,41,18,2,1,24438.497010586034
12,23,38,5,1,26359.51705062302
16,50,36,2,1,35832.33945434227
14,37,38,2,1,30903.43258139389
16,57,35,2,1,39263.174821415654
9,43,60,1,1,26865.392659962366
16,42,20,4,1,32202.300877998634
12,41,61,2,1,35207.01860391005
19,21,49,2,1,35430.91444601719
9,50,27,5,0,21579.086522289672
16,30,57,5,0,36837.529592499515
12,47,32,3,0,30020.64018005928
14,51,22,3,0,33341.32478942728
16,24,21,5,1,31216.36600559386
12,57,45,4,1,36441.30975538481
11,29,21,3,0,28127.59639980391
17,59,32,4,0,41006.889298176975
11,43,34,5,0,26148.545876595097
17,54,61,3,0,42691.92701683538
10,42,20,2,1,26578.36430074052
10,36,27,5,0,26907.271286937772
10,20,64,3,1,25674.587750698644
14,50,59,4,1,35778.917839744456
11,50,40,4,1,28686.424492086087
17,53,35,3,0,39366.89182892786
12,28,18,4,0,22397.991104202858
9,41,52,3,1,27688.76172115792
12,32,48,3,0,29554.63229094683
9,44,61,4,0,28744.69245420938
13,37,18,1,1,30135.253635635305
12,31,20,2,1,29101.94191747982
16,59,20,5,0,37659.13754590926
16,36,54,2,1,36753.86655155935
15,34,36,5,0,32160.669304048315
11,34,46,5,0,29003.02247970044
9,34,42,2,1,24484.767331842228
9,58,50,3,1,32410.119335437677
20,32,53,4,0,43968.09385506369
19,36,46,1,1,40932.15001348369
11,51,43,1,0,30840.777121280717
14,28,21,1,1,28153.505105054708
15,59,31,2,0,38360.73304824156
14,39,44,2,1,34166.053318115046
14,45,50,3,0,34452.73452031317
14,46,39,1,0,34676.88645145599
11,40,20,3,1,24951.55611569022
14,37,40,1,0,33301.85823909092
16,32,38,2,0,32819.61989221636
19,35,58,4,0,42844.07129484684
19,28,40,4,0,37466.571337721085
10,31,21,4,0,26647.688519536074
13,57,38,4,1,34778.1959912008
9,38,54,5,0,26975.929783799776
20,26,60,1,0,38402.67618975426
9,54,48,4,0,31913.08629435335
13,37,38,5,1,30624.130608744752
20,35,43,5,1,44779.00919307613
11,58,58,5,0,33996.48737616845
12,23,52,3,0,27371.746163462376
11,44,55,3,1,29777.05268745131
9,51,41,5,1,29084.36559019906
9,59,28,4,0,29141.513546762922
20,32,58,1,1,39531.93074236298
20,36,46,2,0,40662.21918075345
13,56,64,3,0,38544.96848713214
14,25,20,4,0,26711.048459569236
11,38,18,4,1,24265.926138034403
20,32,36,2,0,40392.48770047079
17,45,63,2,0,40974.29000543319
13,33,39,4,1,29072.02543053766
16,50,31,2,0,40634.77266531897
9,23,31,4,0,20901.978767362798
13,58,61,2,0,34670.01168747792
11,27,33,2,1,21962.17660605496
20,44,50,4,1,45844.952255172124
9,32,30,5,0,20705.214505382028
12,51,55,4,1,33760.88311885629
13,57,29,1,0,32052.04493546375
15,57,55,2,0,39195.7768657666
9,47,56,3,1,29195.973815597245
11,49,50,2,1,28568.916289058434
10,22,50,1,0,23488.596782052424
17,47,46,3,1,38152.819425121495
18,22,22,3,1,31669.26106742027
14,53,23,4,1,33148.66776160865
18,35,48,5,0,37552.39941587119
11,41,33,4,0,29745.975971816602
16,51,48,3,1,37568.44581237169
16,57,42,3,0,40501.64655693335
10,27,63,5,0,27531.65396622962
14,27,50,2,1,28397.786016739974
15,25,30,5,0,29488.60096910231
10,33,27,4,1,24079.8756965108
19,51,41,2,0,43330.8237042452
18,54,27,4,0,40027.26135359461
10,29,58,5,1,28683.828650841577
18,22,48,2,0,36409.4919564953
9,31,30,5,1,23591.029074128364
16,50,20,1,0,34815.65309312949
9,48,51,3,0,29120.15950203505
17,24,45,2,0,38672.77921180733
19,44,36,3,1,41953.17072577881
14,60,40,1,0,39206.03094933915
15,50,62,2,0,38116.9010359871
18,40,49,3,1,41748.49200806279
15,39,30,3,1,35323.137247679835
18,58,50,2,0,44090.897241709165
11,41,51,3,1,29650.498125824353
10,23,50,3,1,21609.825496066132
17,32,22,2,1,34035.231052470466
16,39,20,3,1,34930.44694584737
20,32,24,3,0,37269.51407472788
18,36,41,4,1,35759.83413205828
15,55,39,4,0,37603.903357798394
17,52,62,1,0,42561.33183986711
12,20,40,4,0,23305.25751752065
12,34,47,4,1,29581.54338305275
9,32,35,1,1,23979.855117217547
16,36,49,3,0,38742.607398403576
20,43,24,3,0,40046.961729522816
11,27,50,4,1,31072.843430125802
15,46,22,1,1,34007.77044166726
20,42,45,3,0,40496.11493552346
10,27,25,5,1,22239.628877536947
10,27,32,2,1,21374.307259892263
15,45,21,2,0,33265.52421542918
14,32,51,2,1,33436.93283402234
11,58,22,4,1,30836.377127928154
17,56,50,2,0,39439.74951189352
18,47,22,2,1,36091.013894925505
14,44,55,5,0,36138.778083058
18,35,51,3,1,40388.19795993856
18,21,43,5,0,34522.13900919299
14,37,18,4,1,25124.655635901738
9,36,21,2,0,20483.20194619752
12,49,56,3,1,35372.60073732336
18,58,43,2,1,41422.93942482922
14,32,50,2,1,31705.535950195477
14,51,50,4,0,37306.67930675527
19,48,25,2,1,39987.45998238595
20,49,37,1,0,46294.845721646256
13,37,33,3,1,29453.126951198316
9,32,38,3,1,21978.69304370662
16,40,62,1,1,40564.544406035144
13,49,43,4,1,33695.61218676691
20,40,40,2,1,39843.20430292598
20,36,35,2,1,41643.64874537073
20,59,48,3,0,46011.345673030984
13,38,59,4,0,30708.272085803408
15,34,29,4,1,32390.231545958686
12,28,18,4,1,25083.806995274976
14,29,59,2,1,29325.162240242564
12,50,26,4,1,28481.352009718554
11,42,20,1,1,30630.69133292249
15,49,43,5,0,36762.6191447141
16,52,26,4,1,39693.34095279147
12,28,59,5,1,30117.636400335115
10,20,33,2,0,24774.271968468078
20,54,41,4,0,46011.49726822043
18,30,31,3,0,34207.34205282538
11,53,20,2,1,30313.650224882676
9,35,51,1,1,23694.445687991065
16,28,50,1,1,36458.7380709986
11,51,41,5,1,31235.44810351854
20,34,26,5,1,39437.54504767777
18,31,30,3,0,35322.93793876051
15,52,19,3,1,36396.886604736574
18,33,24,1,1,35684.69464183307
13,27,38,4,1,24880.209663309968
18,27,36,1,0,32571.497166245383
13,46,42,1,1,30361.45536277903
15,31,64,3,1,36668.360420758334
17,20,39,5,1,35120.501173036006
20,59,28,3,1,45249.99545065309
13,30,50,3,0,31128.817590374212
9,58,49,3,0,32892.269274380145
18,50,38,1,0,41485.69678415999
18,36,56,4,1,41076.21913100461
9,52,37,1,0,27578.505326629933
10,51,25,2,0,26777.88997201048
14,48,59,3,1,35939.530139498995
17,40,54,3,1,43001.53763857703
16,40,26,2,0,32426.56287489051
13,59,42,3,0,36128.623190826576
9,42,42,3,0,23069.22228441206
15,25,50,3,0,31278.96689941015
13,41,19,2,1,31147.652171931804
14,57,36,1,1,32380.076138259297
15,56,63,3,0,41809.47857594863
11,27,37,4,0,29695.087218878532
20,60,59,2,0,48630.321033637025
18,54,58,5,1,46123.82818908604
11,30,59,2,1,28896.07615771574
13,43,46,1,1,34122.177708415715
14,40,23,2,0,32207.53251996798
17,21,34,5,1,32079.888384672828
20,59,42,4,0,44800.6347648144
13,38,55,5,0,34962.91411496896
9,58,21,2,1,27115.57228395204
12,47,47,5,0,31816.455731011727
13,36,37,2,1,30075.02596485682
20,25,20,4,1,37612.813539678995
18,38,40,4,0,36228.95897428242
18,57,35,1,0,41535.712816868734
13,47,43,4,1,33821.11856772939
15,21,53,3,1,29441.828708397443
12,57,25,5,1,32318.463455811485
9,56,34,5,1,26304.746916445478
13,23,48,2,1,29524.87492463243
15,41,54,4,1,40417.02393382674
18,45,62,1,1,41958.27306225214
18,55,50,1,0,40842.73292488295
14,32,44,1,1,32274.167440056222
13,51,62,3,0,36848.42022496461
12,36,21,4,0,25426.154033026076
10,60,39,1,1,27463.03994765884
12,55,43,3,1,31432.281264942536
18,38,49,5,1,39403.29663304532
18,54,41,2,1,40989.372912741586
11,59,63,4,1,36754.98790071164
18,47,52,4,0,42634.226147370966
9,20,54,5,0,23103.97137792551
16,37,49,4,1,32810.081561445826
13,59,24,4,1,34960.80481171173
12,52,50,4,1,37358.35453541814
16,31,48,4,1,36724.61276882906
15,27,29,3,0,29484.61067587639
10,43,28,3,0,26127.295280668055
9,35,41,2,0,25518.16011700474
20,23,25,4,1,39873.32240528789
19,57,49,5,1,43388.49773030964
12,46,55,1,1,31768.971710199712
16,28,39,2,0,33413.6668921015
20,35,51,1,0,41838.634576815624
10,31,36,1,0,26384.719141282327
11,50,37,4,1,30724.59537334073
20,43,31,5,0,38905.64648559494
9,33,50,1,1,23786.435930382246
9,44,27,1,0,23744.005454111797
11,53,33,2,1,25970.16659102055
19,22,21,5,1,36859.27334543671
13,43,44,5,1,32764.85008534547
20,28,45,1,1,39018.641314444045
11,45,60,5,0,33305.22031587038
9,39,33,2,0,25202.658806347
9,59,50,2,0,27727.757676076857
16,29,36,2,1,34619.18491241284
18,38,38,4,0,41145.926027846355
19,22,39,1,1,36520.206489965094
20,43,26,5,0,41065.901614331204
20,24,26,2,0,37615.520348225305
10,22,26,1,1,19564.211446767476
11,46,44,1,1,30382.839497143388
10,35,34,4,1,23617.005281103397
11,34,61,5,0,29386.948755158322
15,54,62,5,1,39831.783061482114
9,31,25,2,0,23261.579394502038
18,60,33,2,0,43435.114820822804
16,45,35,1,0,34644.61627433588
18,53,50,5,1,42975.226742833656
18,42,18,5,0,39112.182126366446
18,50,29,2,1,37593.23320179004
10,39,23,3,1,28590.20654268385
11,31,58,1,0,26555.159348138033
17,42,22,5,0,39354.8859063299
15,23,33,4,0,28490.32380639295
12,42,35,4,0,29787.559202291675
18,20,35,3,1,34114.1901479543
13,44,18,2,1,27366.391209775033
10,21,36,2,1,24196.38739975991
19,49,25,2,1,42299.06876452878
16,22,20,4,1,31639.482775013083
12,40,42,2,1,29703.04275227006
17,44,22,4,1,35096.48738512956
13,39,57,3,1,35198.3129657125
17,41,36,1,1,37726.8879977339
12,40,35,5,0,27987.426701049342
18,52,48,3,0,42629.07404567302
13,57,50,4,1,32550.594225103734
17,34,64,3,1,38915.57334557513
16,34,35,5,0,35611.54835057775
11,44,56,1,0,30541.183212670283
9,40,33,5,0,26221.81361955977
11,43,33,4,1,30026.44094433558
12,24,64,5,0,29750.631113493546
10,25,55,3,0,29036.140002920783
9,42,58,2,0,30407.911530235764
15,23,24,3,0,30754.66528842843
16,46,31,4,0,37010.25544920723
15,37,60,1,1,35387.25879288098
13,40,42,5,0,30405.674556516882
20,47,49,1,1,45894.97153915394
9,54,55,4,0,29401.693677967873
15,41,39,5,0,32571.818123644593
15,59,33,3,0,35995.682180570904
17,42,46,3,0,37159.62017882799
11,22,33,4,0,27707.1046544522
17,59,29,5,1,41895.65570813548
9,29,34,3,1,22768.551665314983
9,44,54,4,1,28527.90036561448
12,27,44,4,1,28860.05985172681
17,30,42,1,1,33962.817191296155
14,24,30,3,1,26464.865765711384
19,56,25,5,1,44303.08502237255
11,57,22,3,0,27400.55417991312
9,48,29,3,1,25965.135011633865
12,24,58,3,0,27156.54302226317
20,28,20,4,0,38041.9804954981
17,21,52,2,1,34393.895837336284
11,20,50,2,0,26567.96481206431
20,59,39,1,0,41077.67231064954
17,49,61,3,1,43641.34044718064
15,30,26,2,0,32570.767593136687
20,47,58,1,1,47223.09072170915
12,31,35,4,0,29492.774816308665
11,58,46,3,1,33327.59619347372
18,45,56,5,0,40317.30163920458
13,32,44,4,1,31176.86305193473
13,27,53,1,0,30779.073673287698
11,47,62,4,1,33853.124229596884
20,49,34,5,0,44443.29972373614
17,28,51,4,0,36388.461294608365
12,58,63,1,1,36766.256454844675
19,50,20,5,0,41543.46043439321
13,40,22,5,1,31876.66016543781
12,53,31,4,0,35171.761798980355
13,50,20,5,0,32694.164231869898
15,44,40,4,1,36352.74627023974
17,31,56,3,0,36854.007256993114
15,20,47,5,1,30513.36367075716
13,41,62,4,0,32448.355140797386
18,59,40,3,0,36400.47887527292
18,56,44,5,0,40921.57497695122
15,20,27,3,0,28854.54113904439
18,20,42,5,1,34587.47888522798
13,40,30,1,1,31413.20835710567
11,34,33,1,0,24991.956909877757
15,36,58,4,0,33979.99244557069
19,41,51,2,1,37572.5912201187
19,57,54,1,0,46242.85899111368
10,54,39,2,1,27924.329102342963
20,35,34,3,0,38967.986781306274
17,27,40,3,0,36029.49471031378
18,36,53,2,1,37734.5397669574
18,36,26,4,0,37560.67518289353
20,45,19,5,1,38486.74984620559
9,32,49,2,1,24757.751499721784
14,36,39,2,1,30880.696348585647
15,57,60,2,1,39367.41057285212
16,36,30,2,1,37223.36000748606
18,33,25,2,1,32821.42452470786
17,25,18,4,0,35144.82141855338
10,54,34,1,1,27362.449019577394
19,33,29,5,1,39738.16354653196
18,27,21,1,0,36634.63391034953
10,34,30,2,1,25660.924431103802
13,46,48,1,0,31063.11277622398
13,32,58,4,1,32244.85936728718
14,50,24,3,1,38519.12450064655
11,54,40,1,1,31322.47140248026
16,25,41,5,0,32898.36647660611
9,24,22,4,0,20105.886938558797
14,41,22,3,1,32431.12673414646
12,42,34,4,1,29625.638323334937
9,44,47,2,0,27569.181019386404
15,53,26,3,0,35115.35328937967
17,45,23,5,0,34727.51025739029
12,24,42,3,1,31644.138201368558
12,45,36,5,0,30406.69739681466
14,39,33,2,0,38496.79638658377
20,25,38,5,0,39649.83049209384
11,25,19,4,0,24599.964405151117
20,37,27,1,0,39481.43086095649
14,23,33,4,0,27714.085357249744
15,36,54,4,0,34526.65976187252
19,33,32,3,1,36635.37467193099
18,33,30,2,0,34750.6383632982
18,32,30,1,1,39969.20211082774
11,26,49,5,1,28199.50521133576
15,34,62,3,0,38496.37024870813
11,38,64,2,1,32749.799379277036
10,54,63,1,1,30897.25687099605
20,36,25,4,0,36620.62833299112
18,54,60,2,1,42879.71365860633
12,38,35,2,0,29283.663638023227
20,39,53,2,0,45388.686236918635
16,55,43,4,0,39190.79070464305
17,54,27,5,0,44932.731590352036
15,51,48,3,0,36634.608018860294
9,59,50,5,0,31482.115204896385
11,43,46,1,0,28502.818216408585
20,36,22,3,1,40212.56477164469
17,26,30,1,0,33448.8531371891
20,20,18,4,1,35302.67808550819
9,54,40,5,0,27062.415794208417
17,51,57,2,0,41695.08481286247
16,55,20,3,0,38672.345852935294
9,32,20,2,1,19949.86727158957
14,25,24,1,1,28302.85401005584
13,33,53,2,1,32386.268141311273
14,56,52,2,1,38765.782215346015
18,34,32,4,1,40726.05569436755
20,23,57,4,1,41457.35689210048
13,59,20,5,0,32499.95580552978
14,35,46,1,0,31463.996883179996
13,47,47,4,1,32439.48365127682
19,35,56,4,1,39828.0464467962
20,23,35,5,1,38531.47203721478
13,45,28,3,1,32141.10048941953
12,47,60,5,1,35049.089630773575
11,51,55,2,0,33529.98945327048
11,21,57,2,0,28892.214309288767
12,50,18,4,0,28462.158312281274
17,22,46,4,0,37772.9683712664
10,27,27,5,0,21840.688203320475
17,43,45,5,0,39295.86471635053
9,34,48,1,0,24710.48264203367
9,50,36,2,0,27052.208424780867
13,28,20,5,1,28444.577526434517
14,58,53,3,1,35023.15966136246
14,21,60,1,0,29538.551473892352
11,27,32,5,0,26598.453470493863
15,26,50,4,0,32695.694767617562
17,58,58,5,1,42386.76436536994
19,35,60,4,1,39258.118876673245
20,54,62,4,0,46500.77837533954
18,49,43,2,1,42461.89388313394
16,29,33,2,0,31973.05376170867
14,57,53,5,0,40428.12669371687
20,37,50,5,0,44553.76986160525
16,24,37,3,0,31799.894190962455
20,48,30,1,0,41411.30253442008
13,58,50,1,1,30571.043328851527
16,53,22,5,0,34646.277916117266
18,42,54,2,0,38523.32732688022
20,24,31,3,0,35038.06713813061
12,49,44,1,0,32128.04704464678
18,25,40,5,1,36624.16112065223
16,23,31,2,0,35329.31068454692
18,48,57,2,0,42432.98132280139
20,42,21,2,1,36432.89242431002
10,25,56,4,0,24104.5119373267
20,51,36,2,0,45021.1285510846
20,37,64,5,0,43637.174506176656
13,34,21,3,0,30113.656019188827
17,59,47,5,1,40972.50205287086
12,51,36,2,0,34104.07463892989
19,28,48,3,0,39392.06014843549
14,56,48,1,1,37542.955167863154
9,29,26,1,0,22199.90977513928
17,39,30,5,0,34769.68775937773
9,25,31,3,1,21485.618890318354
13,22,63,5,0,30787.52183510674
12,30,27,3,1,23898.690782714184
20,36,48,3,0,42159.18850552704
11,51,54,5,1,34529.75583699707
14,23,40,3,0,30467.636266740246
10,23,44,2,0,26734.5802995386
11,36,23,3,1,26815.454646611677
13,60,43,3,0,34004.738204865265
17,38,19,5,1,36581.519521675196
10,24,62,1,1,23717.94776339457
18,51,30,4,1,39783.12562054369
16,41,36,3,1,35248.00728536555
10,25,18,4,0,20443.443208388133
19,54,57,3,1,49757.93444370872
13,41,49,5,0,32454.709383909816
15,20,39,5,0,34020.123421078664
16,39,46,3,1,37087.18096102599
9,41,19,5,1,21958.156378546537
14,30,57,5,0,31880.82447219279
9,32,55,3,1,25323.037344373297
